id,catalog_number,cad
1249632,5/5VX1180,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_5_5VX1180.dxf
1249631,5/5VX1120,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_5_5VX1120.dxf
1249630,5/5VX1060,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_5_5VX1060.dxf
176773,5/5VX1000,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_5_5VX1000.dxf
1249649,5/5VX950,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_5_5VX950.dxf
1249648,5/5VX900,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_5_5VX900.dxf
1249647,5/5VX850,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_5_5VX850.dxf
176769,5/5VX800,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_5_5VX800.dxf
176768,5/5VX750,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_5_5VX750.dxf
1249646,5/5VX710,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_5_5VX710.dxf
1249645,5/5VX670,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_5_5VX670.dxf
1249644,5/5VX630,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_5_5VX630.dxf
1249643,5/5VX600,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_5_5VX600.dxf
1249642,5/5VX560,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_5_5VX560.dxf
1249641,5/5VX530,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_5_5VX530.dxf
1249640,5/5VX500,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_5_5VX500.dxf
1249592,4/5VX2000,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_4_5VX2000.dxf
176759,4/5VX1900,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_4_5VX1900.dxf
1249591,4/5VX1800,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_4_5VX1800.dxf
1249590,4/5VX1700,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_4_5VX1700.dxf
1249589,4/5VX1600,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_4_5VX1600.dxf
1249588,4/5VX1500,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_4_5VX1500.dxf
